epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.236,1.35706,3.61232,1.51977,0.51835,0.51682,0.46462,0.18266,2.01276,5.89971,2.01497,0.000545182,0.000545182,0.000545182
2,198.688,1.35494,3.60049,1.51375,0.46808,0.48899,0.42118,0.17759,1.90197,6.00911,1.9369,0.0010954,0.0010954,0.0010954
3,291.028,1.3936,3.86806,1.55867,0.25761,0.36168,0.24846,0.1089,2.06912,7.2535,2.08081,0.00164012,0.00164012,0.00164012
4,385.103,1.41826,3.78742,1.57215,0.56169,0.43843,0.41615,0.17787,2.01654,6.32436,2.04942,0.00164225,0.00164225,0.00164225
5,473.283,1.43513,3.86158,1.58577,0.45623,0.39345,0.39385,0.14261,2.17412,6.47159,2.12347,0.00163399,0.00163399,0.00163399
6,562.557,1.43809,4.04287,1.59233,0.42129,0.37265,0.35741,0.13034,2.22973,6.55174,2.21366,0.00162574,0.00162574,0.00162574
7,651.528,1.41718,3.83495,1.57667,0.39364,0.41578,0.3437,0.14937,1.99584,6.2379,2.0112,0.00161749,0.00161749,0.00161749
8,741.279,1.43943,3.90982,1.58457,0.45234,0.45608,0.39092,0.16218,2.04401,6.22602,2.06257,0.00160924,0.00160924,0.00160924
9,828.847,1.37596,3.67973,1.54054,0.32036,0.42278,0.33983,0.14112,2.09898,7.54162,2.14994,0.00160099,0.00160099,0.00160099
10,917.417,1.40765,3.7921,1.56629,0.45074,0.37457,0.30373,0.13023,2.07727,7.67576,2.07893,0.00159274,0.00159274,0.00159274
11,1005.04,1.40111,3.80944,1.54871,0.41089,0.49743,0.38559,0.17193,1.90035,6.81685,1.91702,0.00158448,0.00158448,0.00158448
12,1093.99,1.3659,3.54826,1.50686,0.488,0.40162,0.35963,0.15733,2.0431,6.5671,2.05296,0.00157623,0.00157623,0.00157623
13,1182.98,1.43505,3.79885,1.55887,0.4554,0.44337,0.39819,0.1648,1.93964,6.63143,1.89852,0.00156798,0.00156798,0.00156798
14,1270.74,1.34622,3.6477,1.51264,0.48374,0.36217,0.37532,0.15915,1.96675,6.16957,1.97761,0.00155973,0.00155973,0.00155973
15,1360.12,1.39367,3.80703,1.55487,0.44752,0.43865,0.38914,0.16629,1.98849,6.51374,1.99923,0.00155148,0.00155148,0.00155148
16,1450.47,1.39145,3.65473,1.54546,0.45556,0.43923,0.39348,0.15958,2.06029,6.16784,2.04845,0.00154323,0.00154323,0.00154323
17,1541.15,1.38062,3.58209,1.5457,0.46806,0.46073,0.39528,0.1566,2.09379,6.06346,2.07862,0.00153497,0.00153497,0.00153497
18,1629.64,1.40201,3.68525,1.56375,0.44213,0.44461,0.34084,0.1366,2.03577,6.30249,2.08691,0.00152672,0.00152672,0.00152672
19,1718.38,1.3772,3.70058,1.54082,0.48544,0.4645,0.3906,0.16723,2.00015,6.42507,2.04114,0.00151847,0.00151847,0.00151847
